domain,table,entity,column,sql_type,kotlin_type,nullable,key,enum_values,relationship,notes
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,id,uuid,UUID,no,PK,,,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,status_id,uuid,UUID,no,,,,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,description,text,String,no,,,,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,label,text,String,no,,,,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,cas2_user_assessor_id,uuid,UUID,no,FK,,ManyToOne -> cas_2_users,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,application_id,uuid,UUID,no,FK,,ManyToOne -> cas_2_applications,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,assessment_id,uuid,UUID?,yes,FK,,ManyToOne -> cas_2_assessments,
cas2,cas_2_status_updates,Cas2StatusUpdateEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,id,uuid,UUID,no,PK,,,
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,created_by_cas2_user_id,uuid,UUID,no,FK,,ManyToOne -> cas_2_users,
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,application_id,uuid,UUID,no,FK,,ManyToOne -> cas_2_applications,
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,created_at,timestamptz,OffsetDateTime,no,,,,
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,body,text,String,no,,,,
cas2,cas_2_application_notes,Cas2ApplicationNoteEntity,assessment_id,uuid,UUID?,yes,FK,,ManyToOne -> cas_2_assessments,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,id,uuid,UUID,no,PK,,,View-mapped entity (cas_2_application_summary / _live)
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,crn,text,String,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,noms_number,text,String,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,created_by_cas2_user_id,text,String,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,created_by_cas2_user_name,text,String,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,allocated_pom_cas_2_user_id,uuid,UUID?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,allocated_pom_cas_2_name,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,created_at,timestamptz,OffsetDateTime,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,submitted_at,timestamptz,OffsetDateTime?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,abandoned_at,timestamptz,OffsetDateTime?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,hdc_eligibility_date,date,LocalDate?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,label,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,status_id,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,referring_prison_code,text,String,no,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,current_prison_code,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,assignment_date,timestamptz,OffsetDateTime?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,bail_hearing_date,date,LocalDate?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,application_origin,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,service_origin,text,String?,yes,,,,
cas2,cas_2_application_live_summary,Cas2ApplicationSummaryEntity,cohort,text,Cas2Cohort?,yes,,HDC|PRISON_BAIL|COURT_BAIL|ATCR|HCRD|HEFR|ISC|RARR|FROM_AP,,
cas2,cas_2_applications,Cas2ApplicationEntity,id,uuid,UUID,no,PK,,,
cas2,cas_2_applications,Cas2ApplicationEntity,crn,text,String,no,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,created_by_cas2_user_id,uuid,UUID,no,FK,,ManyToOne -> cas_2_users,
cas2,cas_2_applications,Cas2ApplicationEntity,data,jsonb,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,document,jsonb,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,created_at,timestamptz,OffsetDateTime,no,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,submitted_at,timestamptz,OffsetDateTime?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,abandoned_at,timestamptz,OffsetDateTime?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,noms_number,text,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,referring_prison_code,text,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,preferred_areas,text,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,hdc_eligibility_date,date,LocalDate?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,conditional_release_date,date,LocalDate?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,telephone_number,text,String?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,bail_hearing_date,date,LocalDate?,yes,,,,
cas2,cas_2_applications,Cas2ApplicationEntity,application_origin,text,ApplicationOrigin,no,,courtBail|prisonBail|homeDetentionCurfew|other,,
cas2,cas_2_applications,Cas2ApplicationEntity,service_origin,text,Cas2ServiceOrigin,no,,BAIL|HDC,,
cas2,cas_2_applications,Cas2ApplicationEntity,cohort,text,Cas2Cohort?,yes,,HDC|PRISON_BAIL|COURT_BAIL|ATCR|HCRD|HEFR|ISC|RARR|FROM_AP,,
cas2,cas_2_assessments,Cas2AssessmentEntity,id,uuid,UUID,no,PK,,,
cas2,cas_2_assessments,Cas2AssessmentEntity,application_id,uuid,UUID,no,FK,,OneToOne -> cas_2_applications,owning side
cas2,cas_2_assessments,Cas2AssessmentEntity,created_at,timestamptz,OffsetDateTime,no,,,,
cas2,cas_2_assessments,Cas2AssessmentEntity,nacro_referral_id,text,String?,yes,,,,
cas2,cas_2_assessments,Cas2AssessmentEntity,assessor_name,text,String?,yes,,,,
cas2,cas_2_assessments,Cas2AssessmentEntity,service_origin,text,Cas2ServiceOrigin,no,,BAIL|HDC,,
cas2,cas_2_users,Cas2UserEntity,id,uuid,UUID,no,PK,,,
cas2,cas_2_users,Cas2UserEntity,username,text,String,no,,,,
cas2,cas_2_users,Cas2UserEntity,email,text,String?,yes,,,,
cas2,cas_2_users,Cas2UserEntity,name,text,String,no,,,,
cas2,cas_2_users,Cas2UserEntity,user_type,text,Cas2UserType,no,,DELIUS|NOMIS|EXTERNAL,,
cas2,cas_2_users,Cas2UserEntity,external_type,text,String?,yes,,,,
cas2,cas_2_users,Cas2UserEntity,nomis_staff_id,bigint,Long?,yes,,,,
cas2,cas_2_users,Cas2UserEntity,active_nomis_caseload_id,text,String?,yes,,,,corresponds to prison code
cas2,cas_2_users,Cas2UserEntity,nomis_account_type,text,String?,yes,,,,
cas2,cas_2_users,Cas2UserEntity,delius_team_codes,text,List<String>?,yes,,,,StringListConverter
cas2,cas_2_users,Cas2UserEntity,delius_staff_code,text,String?,yes,,,,
